
Img size, 320, 1
Class weight, _sqrt/2
0.5,2.7583864218368523,1.6283473681973242,1.5275252316519468,1.6161498378886356,1.3228756555322954
Epoch, Precision, Recall, mAP, F1

Img size, 320, 1
Class weight, _sqrt/2
0.5,2.7583864218368523,1.6283473681973242,1.5275252316519468,1.6161498378886356,1.3228756555322954
Epoch, Precision, Recall, mAP, F1

Img size, 320, 1
Class weight, _sqrt/2
0.5,2.7583864218368523,1.6283473681973242,1.5275252316519468,1.6161498378886356,1.3228756555322954
Epoch, Precision, Recall, mAP, F1

Img size, 320, 1
Class weight, _sqrt/2
0.5,2.7583864218368523,1.6283473681973242,1.5275252316519468,1.6161498378886356,1.3228756555322954
Epoch, Precision, Recall, mAP, F1

Img size, 320, 1
Class weight, _sqrt/2
0.5,2.7583864218368523,1.6283473681973242,1.5275252316519468,1.6161498378886356,1.3228756555322954
Epoch, Precision, Recall, mAP, F1

Img size, 320, 1
Class weight, _sqrt/2
0.5,2.7583864218368523,1.6283473681973242,1.5275252316519468,1.6161498378886356,1.3228756555322954
Epoch, Precision, Recall, mAP, F1

Img size, 320, 1
Class weight, _sqrt/2
0.5,2.7583864218368523,1.6283473681973242,1.5275252316519468,1.6161498378886356,1.3228756555322954
Epoch, Precision, Recall, mAP, F1

Img size, 320, 1
Class weight, _sqrt/2
0.5,2.7583864218368523,1.6283473681973242,1.5275252316519468,1.6161498378886356,1.3228756555322954
Epoch, Precision, Recall, mAP, F1

Img size, 320, 1
Class weight, _sqrt/2
0.5,2.7583864218368523,1.6283473681973242,1.5275252316519468,1.6161498378886356,1.3228756555322954
Epoch, Precision, Recall, mAP, F1

Img size, 320, 1
Class weight, _sqrt/2
0.5,2.7583864218368523,1.6283473681973242,1.5275252316519468,1.6161498378886356,1.3228756555322954
Epoch, Precision, Recall, mAP, F1

Img size, 320, 1
Class weight, _sqrt/2
0.5,2.7583864218368523,1.6283473681973242,1.5275252316519468,1.6161498378886356,1.3228756555322954
Epoch, Precision, Recall, mAP, F1

Img size, 320, 1
Class weight, NA
1.0,30.434782608695652,10.606060606060606,9.333333333333334,10.447761194029852,7.0
Epoch, Precision, Recall, mAP, F1

Img size, 320, 1
Class weight, NA
1.0,30.434782608695652,10.606060606060606,9.333333333333334,10.447761194029852,7.0
Epoch, Precision, Recall, mAP, F1

Img size, 320, 1
Class weight, NA
1.0,30.434782608695652,10.606060606060606,9.333333333333334,10.447761194029852,7.0
Epoch, Precision, Recall, mAP, F1

Img size, 320, 1
Class weight, NA
1.0,30.434782608695652,10.606060606060606,9.333333333333334,10.447761194029852,7.0
Epoch, Precision, Recall, mAP, F1

Img size, 320, 1
Class weight, _NA

Epoch, Precision, Recall, mAP, F1

Img size, 320, 1
Class weight, _NA

Epoch, Precision, Recall, mAP, F1
9, 0.691714, 0.868255, 0.829028, 0.765729
19, 0.549725, 0.699406, 0.678967, 0.613245
29, 0.519805, 0.739190, 0.725540, 0.607591
39, 0.588638, 0.726079, 0.705310, 0.648415

Img size, 320, 1
Class weight, _NA

Epoch, Precision, Recall, mAP, F1
9, 0.481336, 0.676457, 0.650560, 0.559602
19, 0.580121, 0.675683, 0.653382, 0.620277
29, 0.558283, 0.694272, 0.678492, 0.616864
39, 0.558295, 0.693660, 0.673226, 0.617165
Test, 0.560020, 0.671102, 0.657497, 0.608774
Precision,
 0.833593
 0.641283
 0.561965
 0.763259
 0.000000

Recall,
 0.996150
 0.684248
 0.813879
 0.861232
 0.000000

AP,
 0.983640
 0.670814
 0.780728
 0.852301
 0.000000

fold1
Img size, 320, 1
Class weight, _NA

Epoch, Precision, Recall, mAP, F1
fold1
Img size, 320, 1
Class weight, _NA

Epoch, Precision, Recall, mAP, F1
9, 0.701009, 0.842899, 0.820639, 0.735398
19, 0.439306, 0.828911, 0.743021, 0.550218
29, 0.828401, 0.931542, 0.922342, 0.874379
39, 0.831894, 0.928072, 0.919185, 0.876665
49, 0.837367, 0.928026, 0.921903, 0.879249
